---
BL Top Wind Speed [kt] Valid 1000 PST ~Z75~(1800Z)~Z~ FRI 19 May 2017 ~Z75~[18hrFcst@1433z]~Z~
Model= RASP Region= PANOCHE Grid= d2 Reskm= 4.0 Indexs= 1 51 1 69 Proj= lambert 4000 4000 40.0000 40.0000 -73.0000 36.6487 -121.0445
Day= 2017 5 19 FRI ValidLST= 1000 PST ValidZ= 1800 Fcst= 18.0 Init= 12 Param= bltopwindspd Unit= kt Mult= 1 Min= 0 Max= 15
8 8 7 6 4 4 5 3 4 5 4 4 4 3 3 2 2 2 2 2 2 2 2 2 2 2 3 4 5 6 7 8 10 10 9 9 8 8 7 6 5 5 5 4 4 4 4 4 3 3 3
8 8 7 6 5 5 5 4 5 6 6 2 3 3 2 1 1 1 2 2 2 1 2 2 2 2 2 3 4 6 7 9 10 10 10 9 8 8 7 6 5 5 5 4 4 4 4 4 3 3 3
9 9 8 7 6 5 5 4 5 6 7 1 1 1 1 1 1 1 1 1 1 2 2 2 1 2 2 2 4 5 7 8 9 9 9 8 8 7 7 6 5 5 5 4 4 4 4 4 3 3 3
9 9 8 8 7 6 6 5 6 6 6 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 4 5 7 8 8 8 8 7 7 6 6 5 5 4 4 4 3 3 3 3 3 3
10 10 9 8 8 7 6 5 5 5 2 3 3 3 2 2 1 2 3 2 1 1 2 2 2 2 2 2 3 4 5 6 7 8 9 8 7 6 6 5 5 4 4 4 3 3 3 3 3 3 3
10 10 9 9 8 7 5 4 5 5 3 5 4 4 3 2 2 1 3 2 1 1 2 3 2 2 2 3 3 4 4 5 7 8 9 8 7 6 6 5 5 4 4 4 3 3 3 3 3 3 3
11 11 10 9 8 7 5 4 4 5 5 6 6 5 4 2 2 1 3 2 1 2 3 3 3 3 3 3 3 3 4 5 6 7 8 8 7 6 6 5 5 4 4 4 3 3 3 3 3 3 3
11 11 10 9 8 7 5 4 4 3 6 6 7 5 3 3 3 2 2 2 1 3 3 4 4 4 3 3 3 4 4 5 6 7 8 7 7 5 5 5 5 4 4 4 3 3 3 2 3 3 3
11 11 10 9 8 6 4 4 2 5 6 7 7 5 3 3 2 2 1 1 2 4 4 4 4 5 4 3 4 6 6 5 6 7 7 7 6 5 4 4 5 4 4 3 3 3 3 2 2 3 2
11 11 10 9 7 4 3 4 3 4 6 7 7 2 2 2 2 1 1 1 2 4 4 4 5 5 4 5 7 8 5 6 6 7 7 6 6 4 4 4 3 4 4 3 3 3 2 2 2 3 2
11 11 10 8 5 3 3 4 4 4 8 8 4 1 1 1 1 2 1 0 2 3 3 4 5 5 4 6 8 4 6 7 7 7 7 6 5 4 4 3 3 3 3 3 3 3 3 2 2 3 2
11 11 9 7 3 2 4 4 3 7 8 8 1 1 1 1 1 1 0 1 2 3 4 5 5 5 6 8 6 4 7 8 7 7 7 6 5 4 3 3 3 2 3 3 3 3 3 2 2 3 2
11 11 9 6 2 3 4 4 4 7 8 6 1 1 0 1 1 1 0 1 2 3 4 5 4 6 8 8 3 6 7 7 7 7 7 6 5 4 3 3 3 3 2 3 3 3 3 2 2 2 2
10 10 9 6 2 3 3 4 6 8 8 5 1 0 2 1 0 0 0 1 2 3 4 4 4 6 9 7 4 6 7 7 7 7 7 6 5 4 4 3 3 3 2 3 3 3 3 2 2 3 2
10 10 8 5 3 3 3 2 7 8 9 5 2 2 2 0 0 0 0 1 2 3 4 4 5 6 8 6 4 6 7 6 6 6 6 5 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3
10 10 8 5 3 3 2 2 7 9 9 4 3 3 1 0 1 1 1 1 2 3 3 4 5 6 7 7 7 7 7 6 6 6 6 5 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3
10 10 8 4 2 3 1 4 7 9 6 4 4 2 1 1 3 3 2 1 2 3 4 4 5 6 8 9 10 7 7 7 7 6 5 4 4 4 3 4 3 3 3 3 4 4 4 4 4 4 4
10 10 8 4 2 3 1 5 9 9 5 5 3 2 1 2 4 4 2 1 2 3 4 4 5 6 9 11 11 8 8 9 8 8 5 4 4 4 3 3 3 3 3 4 4 4 4 4 4 4 4
10 10 7 4 3 4 2 5 10 8 6 4 3 1 1 3 5 3 2 1 2 3 4 4 5 7 10 11 10 9 9 9 9 8 6 5 3 3 4 4 3 3 3 4 4 4 4 4 4 4 4
10 10 7 3 3 2 4 8 11 8 6 5 4 2 3 4 5 2 2 2 2 3 4 5 6 8 11 12 12 13 12 11 9 6 7 6 4 3 3 4 4 4 4 4 4 5 5 5 5 5 5
10 10 7 3 3 2 3 9 12 8 6 5 4 3 4 5 4 3 2 2 3 4 5 5 6 10 11 13 15 15 13 10 6 5 6 5 4 3 3 4 4 4 4 4 4 5 5 5 5 5 5
10 10 7 3 3 2 3 6 12 9 7 6 5 5 6 6 3 3 2 2 3 4 5 5 7 10 12 14 15 12 8 6 6 4 5 4 4 3 3 4 4 4 4 4 4 5 5 5 5 5 6
10 9 7 3 3 3 1 4 11 11 8 6 6 7 7 5 4 3 2 2 4 4 5 6 7 10 13 13 12 6 5 6 6 3 3 3 3 3 4 4 4 4 4 4 5 5 5 5 5 6 6
